college,draft_team,draft_year
North Carolina State University,New Orleans/Oklahoma City Hornets,2006
University of Connecticut,New Orleans/Oklahoma City Hornets,2006
Temple University,New York Knicks,2006
University of South Carolina,New York Knicks,2006
Duke University,Orlando Magic,2006
University of Illinois at Urbana-Champaign,Orlando Magic,2006
University of Kentucky,Phoenix Suns,2006
Louisiana State University,Portland Trail Blazers,2006
"University of Florida, University of Cincinnati",Portland Trail Blazers,2006
Rutgers University,Sacramento Kings,2006
University of Texas at Austin,Toronto Raptors,2006
Louisiana Tech University,Utah Jazz,2006
University of Arkansas,Utah Jazz,2006
University of Illinois at Urbana-Champaign,Utah Jazz,2006
Texas A&M University,Atlanta Hawks,2007
University of Florida,Atlanta Hawks,2007
Georgetown University,Boston Celtics,2007
University of Southern California,Boston Celtics,2007
Boston College,Charlotte Bobcats,2007
University of North Carolina,Charlotte Bobcats,2007
Oklahoma State University,Chicago Bulls,2007
University of Florida,Chicago Bulls,2007
University of Pittsburgh,Chicago Bulls,2007
"University of Nevada, Reno",Dallas Mavericks,2007
Eastern Washington University,Detroit Pistons,2007
"University of California, Los Angeles",Detroit Pistons,2007
University of Alabama,Golden State Warriors,2007
University of Massachusetts Amherst,Golden State Warriors,2007
University of Oregon,Houston Rockets,2007
Florida State University,Los Angeles Clippers,2007
Georgia Institute of Technology,Los Angeles Lakers,2007
Ohio State University,Memphis Grizzlies,2007
Colorado State University,Miami Heat,2007
"University of Nevada, Reno",Milwaukee Bucks,2007
University of Florida,Minnesota Timberwolves,2007
University of Florida,Minnesota Timberwolves,2007
Boston College,New Jersey Nets,2007
University of Kansas,New Orleans/Oklahoma City Hornets,2007
DePaul University,New York Knicks,2007
Georgia Institute of Technology,Philadelphia 76ers,2007
Ohio State University,Philadelphia 76ers,2007
University of Maryland,Phoenix Suns,2007
University of Wisconsin,Phoenix Suns,2007
Duke University,Portland Trail Blazers,2007
Ohio State University,Portland Trail Blazers,2007
Syracuse University,Portland Trail Blazers,2007
University of Florida,Portland Trail Blazers,2007
"University of Virginia, Vanderbilt University",Portland Trail Blazers,2007
University of Washington,Sacramento Kings,2007
University of Arizona,San Antonio Spurs,2007
Louisiana State University,Seattle SuperSonics,2007
Purdue University,Seattle SuperSonics,2007
University of Texas at Austin,Seattle SuperSonics,2007
Rice University,Utah Jazz,2007
"University of California, California State University, Fresno",Washington Wizards,2007
University of Southern California,Washington Wizards,2007
"University of Kansas, University of New Mexico",Boston Celtics,2008
University of Texas at Austin,Charlotte Bobcats,2008
Washington State University,Charlotte Bobcats,2008
University of Arkansas,Chicago Bulls,2008
University of Memphis,Chicago Bulls,2008
North Carolina State University,Cleveland Cavaliers,2008
Indiana University,Detroit Pistons,2008
Louisiana State University,Golden State Warriors,2008
Midland College,Indiana Pacers,2008
University of Arizona,Indiana Pacers,2008
Indiana University,Los Angeles Clippers,2008
Texas A&M University,Los Angeles Clippers,2008
University of Kentucky,Los Angeles Lakers,2008
Syracuse University,Memphis Grizzlies,2008
"University of California, Los Angeles",Memphis Grizzlies,2008
Kansas State University,Miami Heat,2008
University of Kansas,Miami Heat,2008
"University of California, Los Angeles",Milwaukee Bucks,2008
West Virginia University,Milwaukee Bucks,2008
University of Kansas,Minnesota Timberwolves,2008
University of Southern California,Minnesota Timberwolves,2008
Stanford University,New Jersey Nets,2008
University of California,New Jersey Nets,2008
University of Memphis,New Jersey Nets,2008
University of Kansas,New Orleans Hornets,2008
Western Kentucky University,Orlando Magic,2008
University of Florida,Philadelphia 76ers,2008
Stanford University,Phoenix Suns,2008
University of Oregon,Phoenix Suns,2008
Iowa State University,Portland Trail Blazers,2008
University of Kansas,Portland Trail Blazers,2008
University of Memphis,Portland Trail Blazers,2008
"Indiana University, Georgetown University",Sacramento Kings,2008
Rider University,Sacramento Kings,2008
University of Virginia,Sacramento Kings,2008
Indiana University-Purdue University Indianapolis,San Antonio Spurs,2008
"Mississippi State University, University of Alabama at Birmingham",Seattle SuperSonics,2008
"University of California, Los Angeles",Seattle SuperSonics,2008
University of Kansas,Seattle SuperSonics,2008
Georgetown University,Toronto Raptors,2008
Ohio State University,Utah Jazz,2008
Kansas State University,Washington Wizards,2008
"University of Nevada, Reno",Washington Wizards,2008
Wake Forest University,Atlanta Hawks,2009
University of Tennessee at Martin,Boston Celtics,2009
Duke University,Charlotte Bobcats,2009
Xavier University,Charlotte Bobcats,2009
University of Southern California,Chicago Bulls,2009
Wake Forest University,Chicago Bulls,2009
University of North Carolina,Cleveland Cavaliers,2009
Ohio State University,Dallas Mavericks,2009
Georgetown University,Detroit Pistons,2009
Gonzaga University,Detroit Pistons,2009
University of Arizona,Detroit Pistons,2009
Davidson College,Golden State Warriors,2009
University of Connecticut,Indiana Pacers,2009
University of North Carolina,Indiana Pacers,2009
University of Oklahoma,Los Angeles Clippers,2009
"Auburn University, Florida State University",Los Angeles Lakers,2009
University of Arkansas,Los Angeles Lakers,2009
University of Connecticut,Memphis Grizzlies,2009
University of Pittsburgh,Memphis Grizzlies,2009
"Vanderbilt University, University of Missouri",Memphis Grizzlies,2009
Louisiana State University,Miami Heat,2009
